evaluations raw_y raw_y_best x0 x1
1 2704.6396877625 2704.6396877625 -3.500000 3.500000
2 1130.8655146188 1130.8655146188 0.500000 -2.500000
3 744.3842522370 744.3842522370 -0.500000 0.500000
4 1.7257422506 1.7257422506 3.500000 2.500000
5 14129.6240105979 1.7257422506 -4.500000 -1.500000
6 727.2158408061 1.7257422506 2.500000 -3.500000
7 42.1813132871 1.7257422506 1.500000 4.500000
8 9561.8223498645 1.7257422506 -1.500000 -4.500000
9 6259.1755206607 1.7257422506 -2.500000 -0.500000
10 27.6966455159 1.7257422506 4.500000 1.500000
11 12.7536634468 1.7257422506 3.998420 2.001368
12 18.4225956799 1.7257422506 4.227059 2.662880
13 39.0436680822 1.7257422506 4.773027 2.118719
14 34.7012008426 1.7257422506 2.053490 3.978609
15 60.6509233272 1.7257422506 3.115168 1.726379
16 8.9958297139 1.7257422506 1.331091 3.752666
17 36.7678696857 1.7257422506 2.497290 2.727550
18 26.2178740800 1.7257422506 3.024224 3.387708
19 9.5045566303 1.7257422506 1.925714 3.229247
20 79.4573388660 1.7257422506 3.923633 3.549470
21 34.6290515582 1.7257422506 3.690623 1.011454
22 153.0388471059 1.7257422506 3.186255 4.333894
23 104.5046851741 1.7257422506 2.000079 1.906951
24 16.7288321666 1.7257422506 0.555945 4.374453
25 75.5359245498 1.7257422506 1.229668 2.561100
26 442.6743927047 1.7257422506 0.982500 1.560734
27 199.0873548747 1.7257422506 4.205930 4.541112
28 211.5461775559 1.7257422506 5.000000 5.000000
29 88.0412872558 1.7257422506 4.977466 3.816647
30 207.5335017130 1.7257422506 0.381050 3.356047
31 132.5780236770 1.7257422506 2.564336 0.862590
32 65.5257201886 1.7257422506 2.397176 5.000000
33 217.4527205785 1.7257422506 3.262707 0.059001
34 87.9033320366 1.7257422506 4.415694 0.296112
35 181.1746805291 1.7257422506 4.113013 -0.698046
36 559.9120805918 1.7257422506 0.042815 2.273269
37 124.7022906172 1.7257422506 -0.448466 4.147890
38 101.6209088753 1.7257422506 5.000000 -0.499772
39 24.2435820302 1.7257422506 -0.153777 5.000000
40 86.7839100435 1.7257422506 -1.157218 5.000000
41 77.6903972893 1.7257422506 4.878603 -1.566820
42 281.5080837745 1.7257422506 3.877544 -1.885632
43 439.0705765527 1.7257422506 4.770243 -2.649450
44 558.3541222638 1.7257422506 2.872277 -1.109259
45 232.7843925116 1.7257422506 1.725749 0.116748
46 204.4346067416 1.7257422506 -1.467587 4.037043
47 19.2363993022 1.7257422506 5.000000 0.821859
48 787.6825745547 1.7257422506 0.713116 -0.392114
49 761.8408180838 1.7257422506 -0.936537 3.098308
50 62.3297942161 1.7257422506 5.000000 2.977585
51 59.3399371601 1.7257422506 0.860503 5.000000
52 1019.4700959542 1.7257422506 4.124309 -3.950621
53 21975.0264970630 1.7257422506 -5.000000 -5.000000
54 421.7753401985 1.7257422506 -2.179406 5.000000
55 850.2154625306 1.7257422506 1.708578 -1.099179
56 714.7653752931 1.7257422506 2.806752 -2.339357
57 2719.0615628034 1.7257422506 2.538107 -4.988259
58 425.5047947068 1.7257422506 1.689548 0.983945
59 761.2815272268 1.7257422506 3.708430 -2.902368
60 638.7318935842 1.7257422506 -1.102472 1.681523
61 260.6812077479 1.7257422506 0.581282 0.660487
62 1008.7306990621 1.7257422506 5.000000 -5.000000
63 3779.2322037894 1.7257422506 -5.000000 1.757499
64 1477.8860211622 1.7257422506 -5.000000 5.000000
65 1566.4729476157 1.7257422506 -2.037818 2.375543
66 907.8537387445 1.7257422506 -0.065805 1.334702
67 342.5521359019 1.7257422506 2.473075 -0.177770
68 570.0034589405 1.7257422506 1.705151 -2.712372
69 1304.1740041143 1.7257422506 1.178695 -3.726791
70 235.0337623355 1.7257422506 3.446027 5.000000
71 872.8345515487 1.7257422506 -0.252276 -1.273770
72 428.6635412450 1.7257422506 -3.278830 5.000000
73 246.8222802846 1.7257422506 5.000000 -3.600781
74 2951.2722900730 1.7257422506 -0.932743 -2.206182
75 323.4530189308 1.7257422506 -2.308287 4.173537
76 661.3616446793 1.7257422506 0.784377 -1.516612
77 42.9652269562 1.7257422506 1.063232 3.161961
78 595.2132594184 1.7257422506 -0.241033 -0.351811
79 241.5175834214 1.7257422506 4.328392 -1.309253
80 28.5208236322 1.7257422506 1.859896 2.558511
81 139.6222615430 1.7257422506 4.517120 3.371774
82 120.5901149287 1.7257422506 2.533497 4.390125
83 111.2815810520 1.7257422506 -0.793436 4.596528
84 1781.5956820481 1.7257422506 0.772187 -5.000000
85 368.5238540467 1.7257422506 3.439311 -0.660990
86 35.6445122500 1.7257422506 2.641104 2.111536
87 102.2440598580 1.7257422506 1.720683 5.000000
88 83.5742351912 1.7257422506 4.337194 0.901044
89 105.4377678393 1.7257422506 5.000000 4.412535
90 1375.9106904942 1.7257422506 -3.080490 1.488357
91 1392.7200678395 1.7257422506 1.950349 -1.934539
92 67.1594756225 1.7257422506 2.500078 1.466778
93 363.9804129609 1.7257422506 -1.652099 4.593252
94 42.7982072068 1.7257422506 5.000000 0.160080
95 59.1711071507 1.7257422506 3.563245 3.069508
96 1019.4967658831 1.7257422506 -1.596129 0.999533
97 152.6429046180 1.7257422506 3.151952 0.796526
98 18.3522051470 1.7257422506 2.484402 3.567959
99 2427.2142750719 1.7257422506 -5.000000 3.696903
100 314.5753170981 1.7257422506 -1.939733 3.461008
