evaluations raw_y raw_y_best x0 x1
1 489.9980745978 489.9980745978 0.500000 -1.500000
2 429.1208302219 429.1208302219 3.500000 2.500000
3 687.3741294056 429.1208302219 2.500000 -2.500000
4 128.0549964031 128.0549964031 -4.500000 4.500000
5 179.2955054383 128.0549964031 -1.500000 0.500000
6 95.9777181495 95.9777181495 -2.500000 3.500000
7 911.7646222068 95.9777181495 4.500000 -3.500000
8 203.4853212139 95.9777181495 1.500000 -0.500000
9 160.3445059425 95.9777181495 -3.500000 -4.500000
10 368.9723346303 95.9777181495 -0.500000 1.500000
11 61.1949588261 61.1949588261 -3.037885 3.767067
12 86.4043944910 61.1949588261 -2.652975 4.116071
13 84.0626491463 61.1949588261 -1.889416 3.971861
14 22.9530300383 22.9530300383 -3.630405 4.206830
15 32.4749449303 22.9530300383 -3.889676 3.723067
16 42.2292878646 22.9530300383 -3.500517 3.125883
17 20.4001275630 20.4001275630 -3.399435 4.887355
18 27.2121018483 20.4001275630 -2.747575 5.000000
19 113.7989976544 20.4001275630 -1.967209 4.901464
20 11.0009277959 11.0009277959 -4.261682 3.000077
21 9.8390608075 9.8390608075 -3.970617 2.417832
22 290.5014517029 9.8390608075 -0.867000 4.115709
23 28.1477197153 9.8390608075 -3.286933 2.273899
24 179.2321989578 9.8390608075 -2.536636 2.436586
25 66.4024137565 9.8390608075 -3.727475 1.727730
26 55.6740306936 9.8390608075 -2.958501 1.176738
27 37.1936128486 9.8390608075 -4.731537 2.457117
28 47.3562353442 9.8390608075 -3.506509 0.520522
29 76.2376470440 9.8390608075 -2.794274 0.268900
30 49.2651578877 9.8390608075 -4.982300 3.246174
31 102.3467379440 9.8390608075 -3.637305 -0.381662
32 17.9386170987 9.8390608075 -4.467575 0.757079
33 339.2482406553 9.8390608075 -2.502344 -0.944310
34 16.2703801811 9.8390608075 -4.778487 1.430240
35 3.9984690359 3.9984690359 -5.000000 0.834767
36 49.3641801137 3.9984690359 -4.838267 0.073034
37 71.3843782156 3.9984690359 -4.905146 -0.997204
38 103.9595087736 3.9984690359 -5.000000 -2.075106
39 193.2836239010 3.9984690359 -5.000000 -3.425749
40 84.6186622936 3.9984690359 -4.176623 -1.524531
41 760.4186878366 3.9984690359 -0.937245 -5.000000
42 121.5543482846 3.9984690359 -4.182937 0.150241
43 3.9991918343 3.9984690359 -3.139573 4.555647
44 109.6265638993 3.9984690359 -3.747881 -2.586121
45 202.0419172735 3.9984690359 5.000000 5.000000
46 49.3625976813 3.9984690359 -3.653709 2.634151
47 204.1512542881 3.9984690359 1.906878 5.000000
48 5.8433596212 3.9984690359 -4.383861 1.964819
49 15.9500280388 3.9984690359 -4.318523 1.260630
50 869.1902120412 3.9984690359 5.000000 -0.020767
51 25.4648973622 3.9984690359 -4.488471 3.556938
52 163.2994346453 3.9984690359 -5.000000 -5.000000
53 148.8557189445 3.9984690359 -2.746000 -3.145969
54 392.4674179475 3.9984690359 1.880940 -5.000000
55 761.6163369491 3.9984690359 1.778949 0.970900
56 520.6849892699 3.9984690359 3.457504 5.000000
57 43.1126023359 3.9984690359 -4.313429 -0.764242
58 17.4519495349 3.9984690359 -4.704396 1.037417
59 487.9579235951 3.9984690359 1.115421 3.714208
60 9.1737499542 3.9984690359 -5.000000 0.485575
61 290.3463249102 3.9984690359 -2.341494 0.935775
62 45.5392705011 3.9984690359 -3.500688 1.070339
63 16.9171609134 3.9984690359 -5.000000 1.920389
64 124.8816440818 3.9984690359 -3.786507 -3.495355
65 147.3384139206 3.9984690359 -1.492930 -2.646665
66 627.5063913384 3.9984690359 5.000000 3.489327
67 56.5480262807 3.9984690359 -5.000000 -0.440876
68 6.4770270880 3.9984690359 -4.009717 3.286877
69 114.6496632576 3.9984690359 -3.107443 1.739254
70 91.4733841833 3.9984690359 -3.131765 0.727905
71 103.4381715078 3.9984690359 -3.998097 0.889664
72 223.0379429070 3.9984690359 -0.907027 -0.341035
73 20.2263484893 3.9984690359 -3.502144 4.556833
74 103.2436042766 3.9984690359 -5.000000 3.900521
75 14.2003215198 3.9984690359 -4.309878 2.405088
76 192.3143545178 3.9984690359 -1.607245 3.128394
77 4.9355463000 3.9984690359 -4.484772 1.635896
78 69.4038309272 3.9984690359 -4.448338 -2.542899
79 182.2436367322 3.9984690359 -0.401820 -3.043767
80 34.5081060096 3.9984690359 -4.040860 2.101807
81 114.7872107654 3.9984690359 0.202727 5.000000
82 393.3444671868 3.9984690359 0.688415 -3.614235
83 136.1099351585 3.9984690359 -5.000000 5.000000
84 1.4412788368 1.4412788368 -3.069801 4.866310
85 71.7946087654 1.4412788368 -3.028810 2.927124
86 286.6300838160 1.4412788368 -2.600266 -4.083613
87 272.2549829537 1.4412788368 -2.740067 -2.286574
88 20.2037573582 1.4412788368 -4.547849 3.167971
89 172.1857156383 1.4412788368 -4.298721 -2.077266
90 12.4282877163 1.4412788368 -4.684754 1.935630
91 163.5264894044 1.4412788368 -3.832005 -1.078169
92 76.0326332565 1.4412788368 -3.249434 0.067324
93 101.7981003320 1.4412788368 -4.109699 -5.000000
94 12.8590001853 1.4412788368 -4.770477 0.649394
95 431.8678059808 1.4412788368 2.914111 -0.634209
96 309.7750576159 1.4412788368 -4.360042 -4.272160
97 179.8726414158 1.4412788368 -1.077135 -1.840812
98 165.1099625574 1.4412788368 -3.218650 -5.000000
99 24.2494963593 1.4412788368 -2.770925 4.665381
100 46.2730971223 1.4412788368 -5.000000 -2.698157
