evaluations raw_y raw_y_best x0 x1
1 2.1412051911 2.1412051911 0.833333 -2.500000
2 29.5189829689 2.1412051911 -0.833333 4.166667
3 28.6905385244 2.1412051911 4.166667 2.500000
4 16.6372051911 2.1412051911 -2.500000 -4.166667
5 23.4923163022 2.1412051911 -4.166667 0.833333
6 5.1545385244 2.1412051911 2.500000 -0.833333
7 2.1070277303 2.1070277303 0.856394 -2.476915
8 2.0927390165 2.0927390165 0.866640 -2.466739
9 2.0840561731 2.0840561731 0.873253 -2.460293
10 2.0779631759 2.0779631759 0.878887 -2.455252
11 2.0955816793 2.0779631759 0.888910 -2.457164
12 2.0203656712 2.0203656712 0.868796 -2.437782
13 1.8973582731 1.8973582731 0.846226 -2.399862
14 1.7538785549 1.7538785549 0.815184 -2.355801
15 1.6276179132 1.6276179132 0.781013 -2.318096
16 1.5170240528 1.5170240528 0.742224 -2.287060
17 1.4194979867 1.4194979867 0.697205 -2.262242
18 1.3422328362 1.3422328362 0.650661 -2.244890
19 1.2890360750 1.2890360750 0.609070 -2.234811
20 1.2540293768 1.2540293768 0.575980 -2.228986
21 1.1777378068 1.1777378068 0.559663 -2.197748
22 1.0439649109 1.0439649109 0.549861 -2.134409
23 0.9116558717 0.9116558717 0.548500 -2.064664
24 0.8137228827 0.8137228827 0.556281 -2.006284
25 0.7419523220 0.7419523220 0.569207 -1.957948
26 0.6882345029 0.6882345029 0.585959 -1.916563
27 0.6521583967 0.6521583967 0.606362 -1.882852
28 0.6369894192 0.6369894192 0.628634 -1.860887
29 0.6316300253 0.6316300253 0.640486 -1.850579
30 0.6023418577 0.6023418577 0.629513 -1.835349
31 0.5279470731 0.5279470731 0.595400 -1.797559
32 0.4403519752 0.4403519752 0.550674 -1.749778
33 0.3737516758 0.3737516758 0.509069 -1.711847
34 0.3266069465 0.3266069465 0.473427 -1.683991
35 0.2907781115 0.2907781115 0.440784 -1.662211
36 0.2640555569 0.2640555569 0.408736 -1.646432
37 0.2520087274 0.2520087274 0.377036 -1.643189
38 0.2514184761 0.2514184761 0.359628 -1.646704
39 0.2432099911 0.2432099911 0.359709 -1.638236
40 0.2159264401 0.2159264401 0.361579 -1.608567
41 0.1756197847 0.1756197847 0.366196 -1.560237
42 0.1423631789 0.1423631789 0.371572 -1.514929
43 0.1213866837 0.1213866837 0.377000 -1.482317
44 0.1083834153 0.1083834153 0.381412 -1.459855
45 0.0992651367 0.0992651367 0.384311 -1.443104
46 0.0895165852 0.0895165852 0.379934 -1.427638
47 0.0739333566 0.0739333566 0.348150 -1.411440
48 0.0614721050 0.0614721050 0.318228 -1.395947
49 0.0546891128 0.0546891128 0.298494 -1.386150
50 0.0514104437 0.0514104437 0.287808 -1.380820
51 0.0495561248 0.0495561248 0.282372 -1.377439
52 0.0481644548 0.0481644548 0.279165 -1.374675
53 0.0468432845 0.0468432845 0.276766 -1.371902
54 0.0453778166 0.0453778166 0.274598 -1.368702
55 0.0434106636 0.0434106636 0.272756 -1.364194
56 0.0387907448 0.0387907448 0.275284 -1.352466
57 0.0311076342 0.0311076342 0.284235 -1.330350
58 0.0242448003 0.0242448003 0.291900 -1.307518
59 0.0199277928 0.0199277928 0.296798 -1.290934
60 0.0175748807 0.0175748807 0.299309 -1.280944
61 0.0162467415 0.0162467415 0.300265 -1.275096
62 0.0153743891 0.0153743891 0.300346 -1.271315
63 0.0146816342 0.0146816342 0.299946 -1.268419
64 0.0140394754 0.0140394754 0.299222 -1.265816
65 0.0133795485 0.0133795485 0.298143 -1.263212
66 0.0126310561 0.0126310561 0.296456 -1.260363
67 0.0116713357 0.0116713357 0.293305 -1.256953
68 0.0102974201 0.0102974201 0.286458 -1.252532
69 0.0087783310 0.0087783310 0.276433 -1.247463
70 0.0076472554 0.0076472554 0.267717 -1.242967
71 0.0069789815 0.0069789815 0.262127 -1.239818
72 0.0065956945 0.0065956945 0.258978 -1.237779
73 0.0063498146 0.0063498146 0.257196 -1.236364
74 0.0061627312 0.0061627312 0.256041 -1.235236
75 0.0059991635 0.0059991635 0.255130 -1.234219
76 0.0058495818 0.0058495818 0.254361 -1.233267
77 0.0057056403 0.0057056403 0.253632 -1.232331
78 0.0055669062 0.0055669062 0.252941 -1.231412
79 0.0054329515 0.0054329515 0.252288 -1.230507
80 0.0053036505 0.0053036505 0.251674 -1.229617
81 0.0051760625 0.0051760625 0.251063 -1.228724
82 0.0050501856 0.0050501856 0.250454 -1.227826
83 0.0049257411 0.0049257411 0.249849 -1.226922
84 0.0048043663 0.0048043663 0.249284 -1.226024
85 0.0046846595 0.0046846595 0.248722 -1.225123
86 0.0045673806 0.0045673806 0.248205 -1.224226
87 0.0044484852 0.0044484852 0.247656 -1.223298
88 0.0043317288 0.0043317288 0.247156 -1.222373
89 0.0042124602 0.0042124602 0.246628 -1.221409
90 0.0040946642 0.0040946642 0.246154 -1.220443
91 0.0039732889 0.0039732889 0.245662 -1.219429
92 0.0038495874 0.0038495874 0.245199 -1.218378
93 0.0037223123 0.0037223123 0.244777 -1.217281
94 0.0035870807 0.0035870807 0.244376 -1.216097
95 0.0034425089 0.0034425089 0.244077 -1.214821
96 0.0032748167 0.0032748167 0.243890 -1.213328
97 0.0030558684 0.0030558684 0.244072 -1.211387
98 0.0026636578 0.0026636578 0.246028 -1.207964
99 0.0020795989 0.0020795989 0.250981 -1.202366
100 0.0015956228 0.0015956228 0.255602 -1.196647
