evaluations,best_so_far
1,60.48686976
2,60.48686976
3,60.48686976
4,60.48686976
5,60.48686976
6,57.09006976
7,57.09006976
8,57.09006976
9,57.09006976
10,57.09006976
11,57.09006976
12,56.8804768262
13,56.8804768262
14,56.8804768262
15,56.8804768262
16,56.8804768262
17,56.8804768262
18,56.8804768262
19,56.8804768262
20,55.9447475429
21,54.0022585258
22,54.0022585258
23,54.0022585258
24,54.0022585258
25,52.6091442679
26,52.6091442679
27,52.6091442679
28,52.6091442679
29,52.6091442679
30,52.6091442679
31,52.6091442679
32,52.6091442679
33,52.6091442679
34,52.6091442679
35,52.6091442679
36,51.6003960326
37,51.6003960326
38,51.6003960326
39,51.6003960326
40,51.6003960326
41,51.6003960326
42,51.6003960326
43,49.9034062871
44,49.9034062871
45,49.9034062871
46,49.9034062871
47,49.9034062871
48,49.9034062871
49,49.8779496677
50,49.8779496677
51,48.6026692374
52,47.9372884579
53,37.1510077741
54,37.1510077741
55,37.1510077741
56,37.1510077741
57,37.1510077741
58,37.1510077741
59,37.1510077741
60,37.1510077741
61,37.1510077741
62,37.1510077741
63,37.1510077741
64,37.1510077741
65,35.1982085863
66,35.1580438293
67,35.1580438293
68,34.6104338857
69,34.6104338857
70,34.6104338857
71,34.6104338857
72,34.6104338857
73,34.6104338857
74,34.6104338857
75,34.6104338857
76,34.6104338857
77,34.6104338857
78,34.1249676062
79,34.1249676062
80,34.1249676062
81,34.1249676062
82,34.1249676062
83,34.1249676062
84,34.1249676062
85,34.1249676062
86,34.1249676062
87,34.1249676062
88,32.7675343279
89,32.7675343279
90,31.5487286791
91,31.5487286791
92,31.5487286791
93,30.5479086926
94,30.5479086926
95,29.941381117
96,29.6937197401
97,29.6937197401
98,29.1727607915
99,29.1727607915
100,28.6205964145
