evaluations raw_y raw_y_best x0 x1
1 2.1412051911 2.1412051911 0.833333 -2.500000
3 1.2843163022 1.2843163022 -0.833333 -0.833333
7 0.4252657823 0.4252657823 -0.387796 -1.278878
10 2.1147295007 0.4252657823 0.082877 -2.601049
12 0.0492497347 0.0492497347 0.446820 -1.049069
20 2.8680188798 0.0492497347 -0.639843 0.282369
30 3.7196150738 0.0492497347 -1.497345 -0.346487
40 4.3799236717 0.0492497347 1.656107 -2.709427
50 34.6145776730 0.0492497347 -5.000000 1.493232
60 1.8301068291 0.0492497347 1.569710 -1.466404
70 0.9458766469 0.0492497347 0.719241 -2.010211
80 12.9354482936 0.0492497347 0.239891 2.439765
90 0.3443363608 0.0492497347 0.706616 -0.784796
94 0.0188344296 0.0188344296 0.115562 -1.157189
100 17.1179727349 0.0188344296 2.655789 2.211229
